x_m	y_m	psi_m	psi_error	x_error	y_error	Absolute Time	tau_commanded_psi	tau_commanded_x	tau_commanded_y	tau_psi	tau_surge	tau_sway	psi_ref_filter	x_ref_filter	y_ref_filter
1489,632907	-493,448689	0,393786	0,210568	-0,000554	0,003387	3584087420,692227	-0,002978	-0,001218	-0,000159	-0,000735	0,002633	0,000955	0,000000	1489,598417	-496,908526
1489,632907	-493,448689	0,393786	0,212545	-0,000345	0,003409	3584087420,702225	-0,002992	-0,001182	-0,000152	-0,000742	0,002557	0,000952	0,000000	1489,619865	-496,904411
1490,044409	-493,405171	0,397865	0,213749	-0,000227	0,003420	3584087420,712226	-0,003005	-0,001148	-0,000145	-0,000746	0,002514	0,000950	0,000000	1489,641266	-496,900247
1490,044409	-493,405171	0,397865	0,214486	-0,000164	0,003425	3584087420,722235	-0,003017	-0,001113	-0,000139	-0,000749	0,002490	0,000950	0,000000	1489,662617	-496,896034
1490,526069	-493,399016	0,401088	0,216555	0,000029	0,003444	3584087420,732228	-0,003028	-0,001079	-0,000132	-0,000756	0,002421	0,000947	0,000000	1489,683916	-496,891773
1490,969273	-493,435704	0,401887	0,217814	0,000137	0,003453	3584087420,742229	-0,003038	-0,001046	-0,000125	-0,000760	0,002382	0,000946	0,000000	1489,705161	-496,887463
1490,969273	-493,435704	0,401887	0,219860	0,000384	0,003459	3584087420,752226	-0,003047	-0,001013	-0,000119	-0,000767	0,002293	0,000946	0,000000	1489,726348	-496,883105
1491,454110	-493,406127	0,404831	0,221421	0,000701	0,003447	3584087420,762228	-0,003055	-0,000981	-0,000112	-0,000773	0,002180	0,000949	0,000000	1489,747477	-496,878698
1491,454110	-493,406127	0,404831	0,222373	0,000884	0,003438	3584087420,772226	-0,003062	-0,000949	-0,000105	-0,000776	0,002115	0,000952	0,000000	1489,768543	-496,874241
1491,966924	-493,399408	0,406080	0,224123	0,001178	0,003442	3584087420,782229	-0,003068	-0,000918	-0,000099	-0,000782	0,002010	0,000952	0,000000	1489,789545	-496,869736
1491,966924	-493,399408	0,406080	0,225190	0,001348	0,003443	3584087420,792228	-0,003073	-0,000887	-0,000092	-0,000786	0,001949	0,000952	0,000000	1489,810481	-496,865181
1491,966924	-493,399408	0,406080	0,226338	0,001645	0,003444	3584087420,802239	-0,003077	-0,000857	-0,000085	-0,000790	0,001843	0,000953	0,000000	1489,831348	-496,860577
1492,516972	-493,465647	0,405680	0,227041	0,001816	0,003443	3584087420,812229	-0,003080	-0,000828	-0,000079	-0,000793	0,001782	0,000954	0,000000	1489,852144	-496,855924
1492,516972	-493,465647	0,405680	0,227474	0,001912	0,003440	3584087420,822228	-0,003082	-0,000799	-0,000072	-0,000794	0,001747	0,000955	0,000000	1489,872866	-496,851221
1493,039548	-493,459526	0,406116	0,227587	0,002179	0,003411	3584087420,832231	-0,003083	-0,000771	-0,000065	-0,000794	0,001652	0,000962	0,000000	1489,893514	-496,846468
1493,543581	-493,511487	0,403804	0,227665	0,002332	0,003391	3584087420,842239	-0,003083	-0,000743	-0,000058	-0,000795	0,001597	0,000967	0,000000	1489,914084	-496,841665
1493,543581	-493,511487	0,403804	0,227893	0,002624	0,003379	3584087420,852229	-0,003083	-0,000716	-0,000051	-0,000795	0,001494	0,000970	0,000000	1489,934575	-496,836812
1494,106459	-493,574579	0,401020	0,227125	0,002991	0,003350	3584087420,862230	-0,003081	-0,000690	-0,000044	-0,000793	0,001364	0,000977	0,000000	1489,954985	-496,831909
1494,106459	-493,574579	0,401020	0,226671	0,003205	0,003330	3584087420,872229	-0,003079	-0,000664	-0,000037	-0,000791	0,001288	0,000982	0,000000	1489,975312	-496,826955
1494,619905	-493,601714	0,396761	0,225303	0,003549	0,003291	3584087420,882232	-0,003075	-0,000639	-0,000030	-0,000786	0,001166	0,000990	0,000000	1489,995555	-496,821950
1494,619905	-493,601714	0,396761	0,224486	0,003749	0,003265	3584087420,892231	-0,003070	-0,000614	-0,000022	-0,000784	0,001095	0,000996	0,000000	1490,015711	-496,816895
1495,127012	-493,657590	0,392496	0,222316	0,004066	0,003237	3584087420,902234	-0,003064	-0,000590	-0,000015	-0,000776	0,000984	0,001003	0,000000	1490,035779	-496,811788
1495,127012	-493,657590	0,392496	0,221014	0,004249	0,003218	3584087420,912230	-0,003056	-0,000566	-0,000007	-0,000771	0,000919	0,001007	0,000000	1490,055757	-496,806630
1495,604409	-493,696903	0,385969	0,218548	0,004552	0,003182	3584087420,922232	-0,003048	-0,000543	0,000001	-0,000763	0,000812	0,001015	0,000000	1490,075645	-496,801421
1495,604409	-493,696903	0,385969	0,217068	0,004728	0,003158	3584087420,932231	-0,003038	-0,000520	0,000010	-0,000758	0,000750	0,001021	0,000000	1490,095441	-496,796160
1496,061267	-493,742226	0,379557	0,213599	0,005015	0,003126	3584087420,942232	-0,003026	-0,000497	0,000019	-0,000746	0,000648	0,001028	0,000000	1490,115143	-496,790847
1496,061267	-493,742226	0,379557	0,211513	0,005181	0,003105	3584087420,952232	-0,003014	-0,000474	0,000029	-0,000738	0,000590	0,001033	0,000000	1490,134750	-496,785483
1496,539415	-493,757019	0,372070	0,207723	0,005455	0,003072	3584087420,962233	-0,003000	-0,000451	0,000039	-0,000725	0,000493	0,001040	0,000000	1490,154262	-496,780066
1496,539415	-493,757019	0,372070	0,205443	0,005612	0,003050	3584087420,972231	-0,002984	-0,000428	0,000050	-0,000717	0,000438	0,001046	0,000000	1490,173678	-496,774596
1496,931835	-493,794155	0,363139	0,201111	0,005889	0,003028	3584087420,982234	-0,002966	-0,000405	0,000062	-0,000702	0,000340	0,001051	0,000000	1490,192996	-496,769074
